COMPANY,total_filings,avg_offered_wage,avg_prevailing_wage
Amazon,4188,166530.0,127018.0
Cognizant,2633,110716.0,108696.0
Microsoft,2522,167449.0,140503.0
Tata Consultancy,1549,91355.0,88467.0
Meta,1398,208281.0,174312.0
Google,1191,189966.0,162706.0
Walmart,1071,142685.0,114336.0
Infosys,994,108147.0,107954.0
Accenture,759,127922.0,115668.0
Capgemini,751,129425.0,114042.0
Apple,719,175765.0,170419.0
IBM,688,131518.0,115306.0
Wipro,596,94103.0,91782.0
JPMorgan,586,152202.0,132966.0
Deloitte,515,129638.0,115687.0
