COMPANY,PW_WAGE_LEVEL,filings,pct_of_company
ARCHPOINT GROUP INC,I,1,100.0
Accenture,II,154,20.3
Accenture,III,369,48.6
Accenture,IV,236,31.1
Amazon,I,628,15.2
Amazon,II,2071,50.0
Amazon,III,1290,31.1
Amazon,IV,156,3.8
Apple,II,9,2.3
Apple,III,97,24.4
Apple,IV,291,73.3
BHP MINERALS SERVICE COMPANY,IV,1,100.0
CATCHPOINT SYSTEMS INC,IV,3,100.0
CLUTCHPOINT LLC,I,1,25.0
CLUTCHPOINT LLC,II,3,75.0
Capgemini,II,254,33.8
Capgemini,III,445,59.3
Capgemini,IV,52,6.9
Cisco,II,73,28.4
Cisco,III,177,68.9
Cisco,IV,7,2.7
Cognizant,II,706,26.8
Cognizant,III,1358,51.6
Cognizant,IV,569,21.6
DELL MARKETING LP,I,1,16.7
DELL MARKETING LP,III,1,16.7
DELL MARKETING LP,IV,4,66.7
DELL PRODUCTS LP,II,3,12.0
DELL PRODUCTS LP,III,6,24.0
DELL PRODUCTS LP,IV,16,64.0
DELL USA LP,II,1,2.2
DELL USA LP,III,5,11.1
DELL USA LP,IV,39,86.7
Deloitte,I,20,4.0
Deloitte,II,179,36.2
Deloitte,III,217,43.8
Deloitte,IV,79,16.0
GLOBAL TOUCHPOINTS INC,I,5,62.5
GLOBAL TOUCHPOINTS INC,II,1,12.5
GLOBAL TOUCHPOINTS INC,III,2,25.0
Goldman Sachs,I,20,12.7
Goldman Sachs,II,50,31.6
Goldman Sachs,III,53,33.5
Goldman Sachs,IV,35,22.2
Google,I,2,0.2
Google,II,590,55.8
Google,III,405,38.3
Google,IV,61,5.8
HEALTHPORT INC,I,1,100.0
HP HOOD LLC,I,1,100.0
HP INC,II,5,17.2
HP INC,III,7,24.1
HP INC,IV,17,58.6
HPS SOFTWARE SOLUTIONS INC,I,1,100.0
IBM,II,241,35.0
IBM,III,293,42.6
IBM,IV,154,22.4
Infosys,I,19,1.9
Infosys,II,276,27.8
Infosys,III,517,52.0
Infosys,IV,182,18.3
Intel,I,42,10.6
Intel,II,186,46.9
Intel,III,148,37.3
Intel,IV,21,5.3
JPMorgan,I,1,0.3
JPMorgan,II,35,8.9
JPMorgan,III,82,20.8
JPMorgan,IV,276,70.1
KHP SOLUTIONS INC,II,1,100.0
LHP DATA ANALYTIC SOLUTIONS LLC,II,1,50.0
LHP DATA ANALYTIC SOLUTIONS LLC,III,1,50.0
LHP ENGINEERING SOLUTIONS LLC,I,1,20.0
LHP ENGINEERING SOLUTIONS LLC,II,3,60.0
LHP ENGINEERING SOLUTIONS LLC,III,1,20.0
Meta,I,8,0.7
Meta,II,128,11.1
Meta,III,172,15.0
Meta,IV,842,73.2
Microsoft,I,193,7.9
Microsoft,II,1056,43.5
Microsoft,III,937,38.6
Microsoft,IV,242,10.0
Oracle,II,14,11.4
Oracle,III,25,20.3
Oracle,IV,84,68.3
Qualcomm,II,39,34.8
Qualcomm,III,36,32.1
Qualcomm,IV,37,33.0
RHP SOFT INC,I,1,50.0
RHP SOFT INC,II,1,50.0
STAKEWITHPROS LLC,II,1,100.0
SYNTHPOP INC,II,1,100.0
TECHPRO SOLUTIONS INC,I,6,40.0
TECHPRO SOLUTIONS INC,II,9,60.0
Tata Consultancy,II,1294,83.5
Tata Consultancy,III,237,15.3
Tata Consultancy,IV,18,1.2
UST HEALTHPROOF INC,II,3,100.0
Walmart,I,2,0.3
Walmart,II,260,32.7
Walmart,III,499,62.8
Walmart,IV,33,4.2
Wipro,II,549,92.1
Wipro,III,46,7.7
Wipro,IV,1,0.2
